id,manufacturer,model,year,fuel,transmission,body,cylinder,mileage,seats,price,image
1,Toyota,Raize,2023,Petrol,Automatic,SUV/Crossover,3,83000,5,57000,https://dubicars.com/images/f4feba/w_1300x760/target-motors-2/aa1d3ee9-6f16-40cf-92d1-33c1fe181f54.jpg
2,Toyota,Land Cruiser,2024,Diesel,Automatic,SUV/Crossover,6,31591,7,310000,https://dubicars.com/images/7a1e3f/w_1300x760/target-motors-2/d7bb7a82-e6f3-4bbd-84b0-4b729b11a29e.jpg
3,Toyota,Land Cruiser,2025,Petrol,Automatic,SUV/Crossover,6,31591,7,304999,https://dubicars.com/images/987e48/w_1300x760/target-motors-2/330db285-1b4d-4eb1-ac52-14e5b00ff77a.jpg
4,Toyota,Hilux,2025,Diesel,Automatic,Pick Up Truck,4,20,5,113000,https://dubicars.com/images/6c8db3/w_1300x760/target-motors-2/9e927556-4463-4250-b275-58bf6ae733a5.jpg
5,Toyota,Hilux,2025,Diesel,Manual,Pick Up Truck,4,20,5,90000,https://dubicars.com/images/2e0bce/w_1300x760/target-motors-2/f43f454a-99a2-459b-a11f-3d086d3ff9d7.jpg
6,Toyota,Land Cruiser,2024,Petrol,Automatic,SUV/Crossover,6,31591,7,285000,https://dubicars.com/images/af53f0/w_1300x760/target-motors-2/ddc3fbde-0ca5-48fb-9e9e-bdae92e443bc.jpg
7,Toyota,RAV4,2024,Petrol,Automatic,SUV/Crossover,4,70978,5,95000,https://dubicars.com/images/b1c07e/w_1300x760/target-motors-2/e9358a7b-9d08-4c97-a322-f6e8caac60c3.jpg
8,Toyota,Prado,2023,Petrol,Automatic,SUV/Crossover,4,104463,5,153000,https://dubicars.com/images/3cf94a/w_1300x760/target-motor-fze/33056158-1dfe-45c7-b924-60cd0fec9813.jpg
9,Toyota,Fortuner,2025,Petrol,Automatic,SUV/Crossover,4,25,7,108000,https://dubicars.com/images/9abf3d/w_1300x760/target-motors-2/591a8b7a-8694-41aa-8175-bcc30dea919b.jpg
10,Toyota,Land Cruiser,2024,Diesel,Automatic,SUV/Crossover,6,31591,7,245000,https://dubicars.com/images/4515e4/w_1300x760/target-motors-2/86b637e5-7b53-43dc-8daa-35706d956ee5.jpg
11,Toyota,RAV4,2024,Petrol,Automatic,SUV/Crossover,4,70978,5,93500,https://dubicars.com/images/4d87a8/w_1300x760/target-motors-2/b92dae20-bebd-4e95-8ba1-ed7d53751cf5.jpg
12,Toyota,Land Cruiser,2025,Petrol,Automatic,SUV/Crossover,6,31591,7,243000,https://dubicars.com/images/4720e6/w_1300x760/target-motors-2/5e8472a0-b8b4-4b86-9d88-9191dba7600b.jpg
13,Toyota,RAV4,2024,Petrol,Automatic,SUV/Crossover,4,70978,5,117000,https://dubicars.com/images/7a2fda/w_1300x760/target-motors-2/05e4c9db-791b-4c67-b1c9-61f54acffcb7.jpg
14,Toyota,Prado,2024,Petrol,Automatic,SUV/Crossover,4,65490,7,198000,https://dubicars.com/images/93c85d/w_1300x760/target-motors-2/da96a415-921f-4147-b65d-442708d38f3d.jpg
15,Toyota,Fortuner,2024,Diesel,Automatic,SUV/Crossover,4,59197,7,117000,https://dubicars.com/images/54fe9f/w_1300x760/target-motors-2/d3f9fdf3-c4f2-4a02-9f04-f519956ee068.jpg
16,Toyota,Hilux,2025,Petrol,Automatic,Pick Up Truck,6,20,5,139999,https://dubicars.com/images/9060c5/w_1300x760/target-motors-2/9a465256-b8a5-413f-99d2-aec7bc958cfc.jpg
17,Toyota,Land Cruiser,2024,Petrol,Automatic,SUV/Crossover,6,31591,7,280000,https://dubicars.com/images/f971f6/w_1300x760/target-motors-2/1ef32bb8-316d-4f8f-8d21-1e73052c6c61.jpg
18,Toyota,Prado,2024,Petrol,Automatic,SUV/Crossover,4,65490,7,213999,https://dubicars.com/images/f4fcde/w_1300x760/target-motors-2/f4887b74-0f09-4776-a6fe-2111d6179271.jpg
19,Toyota,Hiace,2024,Petrol,Manual,Van,4,46,0,85000,https://dubicars.com/images/4922f9/w_1300x760/target-motors-2/37c81d34-923a-4674-bf69-4d85d8ed1dea.jpg
20,Toyota,Fortuner,2024,Petrol,Automatic,SUV/Crossover,4,59197,7,113000,https://dubicars.com/images/f0f4b2/w_1300x760/target-motors-2/eaf4ec5f-ee0e-4841-ad28-d7a1d346b7e1.jpg
21,Toyota,Land Cruiser Hard Top,2025,Diesel,Manual,SUV/Crossover,6,15,0,144999,https://dubicars.com/images/dea1ef/w_1300x760/target-motors-2/f68df737-2625-4dd0-82be-e1a0c85213b6.jpg
22,Toyota,Camry,2025,Petrol,Automatic,Sedan,4,39179,5,97000,https://dubicars.com/images/e4e3c9/w_1300x760/target-motors-2/4f59f587-6213-4445-a3a3-4e5eeac2ab3d.jpg
23,Toyota,Hilux,2025,Diesel,Manual,Pick Up Truck,4,20,5,106000,https://dubicars.com/images/2984e0/w_1300x760/target-motors-2/13862f2e-1b42-4c68-bd85-b692449cd080.jpg
24,Toyota,RAV4,2019,Petrol,Automatic,SUV/Crossover,4,61360,5,84000,https://dubicars.com/images/cd8eec/w_1300x760/private-sellers/9d9ded8a-afb2-49c7-94e8-e48fc8005095.jpg
25,Toyota,Land Cruiser,2022,Diesel,Automatic,SUV/Crossover,6,24300,7,205000,https://dubicars.com/images/28b953/w_1300x760/private-sellers/3fde5ff6-d20b-43d9-9f76-08d8fc111e23.jpg
26,Toyota,Land Cruiser,2015,Petrol,Manual,SUV/Crossover,6,168800,7,85000,https://dubicars.com/images/65192c/w_1300x760/private-sellers/b90c206b-1575-4ebd-9f70-cfc6dd1f15cc.jpeg
27,Toyota,Camry,2016,Petrol,Automatic,Sedan,4,216000,5,25000,https://dubicars.com/images/90a7ff/w_1300x760/private-sellers/b15b2c67-3d03-4b53-b1d5-9e85a65889ad.jpg
28,Toyota,Camry,2021,Petrol,Automatic,Sedan,4,35000,5,59000,https://dubicars.com/images/1ae7b7/w_1300x760/private-sellers/b35e49ad-e2ff-4365-b5ee-9507a56cf9a2.jpg
29,Toyota,Land Cruiser,2024,Petrol,Automatic,SUV/Crossover,6,31591,7,265000,https://dubicars.com/images/7ea87b/w_1300x760/mohamed-hakim-motors/fd81160c-f0a5-4386-8a4a-a1cf7f3811de.jpg
30,Toyota,Tundra,2024,Hybrid,Automatic,Pick Up Truck,6,5015,5,240000,https://dubicars.com/images/c31f44/w_1300x760/private-sellers/86c0883f-61fb-4410-99c9-4be03bbef92c.jpg
31,Toyota,Hilux,2024,Diesel,Manual,Pick Up Truck,4,20,5,92000,https://dubicars.com/images/1d0eee/w_1300x760/soltan-auto/8d31cec0-d494-4035-a32c-5f86869ab40f.jpg
32,Toyota,RAV4,2023,Hybrid,Automatic,SUV/Crossover,4,79124,5,122000,https://dubicars.com/images/10382a/w_1300x760/soltan-auto/bb292388-b6ea-491f-bcf9-cfaf3903fa5c.jpg
33,Toyota,Highlander,2023,Hybrid,Automatic,SUV/Crossover,4,16842,7,153000,https://dubicars.com/images/8c1e91/w_1300x760/soltan-auto/5654b5bf-2ea8-4a6a-af88-85a2c81a46d1.jpg
34,Toyota,Hilux,2025,Petrol,Automatic,Pick Up Truck,6,20,5,143000,https://dubicars.com/images/964f27/w_1300x760/fh-auto-cars/af96db55-376b-430d-818a-820901a00db4.jpg
35,Toyota,Camry,2024,Petrol,Automatic,Sedan,4,39179,5,106999,https://dubicars.com/images/4304a0/w_1300x760/cars24/f1346297-42ae-4212-8369-c5e546d3bfec.jpg
36,Toyota,Prado,2022,Petrol,Automatic,SUV/Crossover,6,104463,7,154999,https://dubicars.com/images/fd551b/w_1300x760/cars24/845bd423-6fa2-45df-9388-c7740f76cd62.jpg
37,Toyota,Fortuner,2022,Petrol,Automatic,SUV/Crossover,4,70051,7,99999,https://dubicars.com/images/8708af/w_1300x760/cars24/98cea449-95e4-477f-927f-f28f49beb108.jpg
38,Toyota,Corolla,2022,Petrol,Automatic,Sedan,4,63499,5,58299,https://dubicars.com/images/7ef8c8/w_1300x760/cars24/fc180abf-62e0-4535-bc42-b50fefec6301.jpg
39,Toyota,Yaris,2023,Petrol,Automatic,Sedan,4,92224,5,47699,https://dubicars.com/images/3921ed/w_1300x760/cars24/c45579df-e8fd-4926-9d81-4225b5bddba2.jpg
40,Toyota,Rush,2023,Petrol,Automatic,SUV/Crossover,4,96501,7,59999,https://dubicars.com/images/335387/w_1300x760/cars24/9f2a7a35-9703-4518-b996-a13b25d75e44.jpg
41,Toyota,Yaris,2021,Petrol,Automatic,Sedan,4,117000,5,38999,https://dubicars.com/images/220df7/w_1300x760/carzilla-motors/983f66d9-9719-40ef-a500-d63c6fe2b3ec.jpg
42,Toyota,Land Cruiser,2024,Petrol,Automatic,SUV/Crossover,6,31591,7,281999,https://dubicars.com/images/f1575e/w_1300x760/cars24/4eeff597-46a1-48bc-b790-e45628b04f1b.jpg
43,Toyota,Camry,2025,Petrol,Automatic,Sedan,4,39179,5,125000,https://dubicars.com/images/029e9a/w_1300x760/cgm-auto-fze/ea3994a6-9b1c-42c1-94af-ab4a3dc24fed.jpg
44,Toyota,Hiace,2025,Petrol,Automatic,Van,6,46,0,148000,https://dubicars.com/images/254801/w_1300x760/cgm-auto-fze/f8ca34ab-6914-4a51-a91f-b0374d8566ac.jpg
45,Toyota,Land Cruiser Hard Top,2024,Diesel,Manual,SUV/Crossover,6,15,0,156000,https://dubicars.com/images/57365f/w_1300x760/al-karama-motors-exhibition/1640d5d0-60ab-4098-aed5-f8b9a93acd1f.jpg
